lpq,toe,tos,wor,hvsl,hpp,lvl,accuracy_train,accuracy_test,accuracy_validation
-,-,-,-,-,-,X,42.37388724035608,28.125,lvl
-,-,-,-,-,X,-,83.50148367952522,37.5,lvl
-,-,-,-,-,X,X,87.29970326409496,46.875,lvl
-,-,-,-,X,-,-,29.198813056379823,18.75,lvl
-,-,-,-,X,-,X,52.40356083086053,29.166666666666668,lvl
-,-,-,-,X,X,-,88.30860534124629,34.375,lvl
-,-,-,-,X,X,X,89.91097922848664,44.79166666666667,lvl
-,-,-,X,-,-,-,33.175074183976264,21.875,lvl
-,-,-,X,-,-,X,58.87240356083087,29.166666666666668,lvl
-,-,-,X,-,X,-,85.10385756676558,40.625,lvl
-,-,-,X,-,X,X,88.8427299703264,47.91666666666667,lvl
-,-,-,X,X,-,-,49.02077151335312,18.75,lvl
-,-,-,X,X,-,X,68.18991097922849,30.208333333333332,lvl
-,-,-,X,X,X,-,89.31750741839762,41.66666666666667,lvl
-,-,-,X,X,X,X,90.80118694362018,47.91666666666667,lvl
-,-,X,-,-,-,-,76.55786350148368,46.875,lvl
-,-,X,-,-,-,X,83.91691394658753,44.79166666666667,lvl
-,-,X,-,-,X,-,96.79525222551929,45.83333333333333,lvl
-,-,X,-,-,X,X,97.2106824925816,51.041666666666664,lvl
-,-,X,-,X,-,-,77.80415430267063,46.875,lvl
-,-,X,-,X,-,X,85.57863501483679,44.79166666666667,lvl
-,-,X,-,X,X,-,97.0919881305638,46.875,lvl
-,-,X,-,X,X,X,97.86350148367953,51.041666666666664,lvl
-,-,X,X,-,-,-,87.06231454005935,38.54166666666667,lvl
-,-,X,X,-,-,X,92.04747774480713,40.625,lvl
-,-,X,X,-,X,-,97.3887240356083,48.95833333333333,lvl
-,-,X,X,-,X,X,97.62611275964392,52.083333333333336,lvl
-,-,X,X,X,-,-,88.6646884272997,38.54166666666667,lvl
-,-,X,X,X,-,X,90.56379821958457,40.625,lvl
-,-,X,X,X,X,-,97.3293768545994,51.041666666666664,lvl
-,-,X,X,X,X,X,98.27893175074183,54.166666666666664,lvl
-,X,-,-,-,-,-,76.43916913946587,38.54166666666667,lvl
-,X,-,-,-,-,X,85.22255192878339,43.75,lvl
-,X,-,-,-,X,-,95.37091988130564,45.83333333333333,lvl
-,X,-,-,-,X,X,95.84569732937686,45.83333333333333,lvl
-,X,-,-,X,-,-,79.7032640949555,39.58333333333333,lvl
-,X,-,-,X,-,X,87.29970326409496,41.66666666666667,lvl
-,X,-,-,X,X,-,95.96439169139465,46.875,lvl
-,X,-,-,X,X,X,97.0919881305638,45.83333333333333,lvl
-,X,-,X,-,-,-,85.4005934718101,35.41666666666667,lvl
-,X,-,X,-,-,X,88.18991097922849,40.625,lvl
-,X,-,X,-,X,-,95.78635014836794,50.0,lvl
-,X,-,X,-,X,X,96.55786350148368,50.0,lvl
-,X,-,X,X,-,-,86.58753709198812,38.54166666666667,lvl
-,X,-,X,X,-,X,89.85163204747775,40.625,lvl
-,X,-,X,X,X,-,96.55786350148368,52.083333333333336,lvl
-,X,-,X,X,X,X,97.62611275964392,52.083333333333336,lvl
-,X,X,-,-,-,-,92.16617210682493,43.75,lvl
-,X,X,-,-,-,X,93.82789317507418,50.0,lvl
-,X,X,-,-,X,-,98.45697329376854,46.875,lvl
-,X,X,-,-,X,X,98.63501483679525,52.083333333333336,lvl
-,X,X,-,X,-,-,92.34421364985164,44.79166666666667,lvl
-,X,X,-,X,-,X,93.88724035608308,52.083333333333336,lvl
-,X,X,-,X,X,-,98.57566765578635,48.95833333333333,lvl
-,X,X,-,X,X,X,99.05044510385757,51.041666666666664,lvl
-,X,X,X,-,-,-,96.32047477744807,45.83333333333333,lvl
-,X,X,X,-,-,X,97.03264094955489,51.041666666666664,lvl
-,X,X,X,-,X,-,96.85459940652818,48.95833333333333,lvl
-,X,X,X,-,X,X,97.2106824925816,50.0,lvl
-,X,X,X,X,-,-,96.973293768546,50.0,lvl
-,X,X,X,X,-,X,97.50741839762611,52.083333333333336,lvl
-,X,X,X,X,X,-,98.57566765578635,56.25,lvl
-,X,X,X,X,X,X,98.99109792284867,55.208333333333336,lvl
X,-,-,-,-,-,-,99.9406528189911,42.70833333333333,lvl
X,-,-,-,-,-,X,100.0,43.75,lvl
X,-,-,-,-,X,-,100.0,43.75,lvl
X,-,-,-,-,X,X,100.0,44.79166666666667,lvl
X,-,-,-,X,-,-,99.9406528189911,42.70833333333333,lvl
X,-,-,-,X,-,X,100.0,43.75,lvl
X,-,-,-,X,X,-,100.0,43.75,lvl
X,-,-,-,X,X,X,100.0,44.79166666666667,lvl
X,-,-,X,-,-,-,100.0,42.70833333333333,lvl
X,-,-,X,-,-,X,100.0,43.75,lvl
X,-,-,X,-,X,-,100.0,43.75,lvl
X,-,-,X,-,X,X,100.0,43.75,lvl
X,-,-,X,X,-,-,100.0,42.70833333333333,lvl
X,-,-,X,X,-,X,100.0,43.75,lvl
X,-,-,X,X,X,-,100.0,46.875,lvl
X,-,-,X,X,X,X,100.0,46.875,lvl
X,-,X,-,-,-,-,100.0,42.70833333333333,lvl
X,-,X,-,-,-,X,100.0,43.75,lvl
X,-,X,-,-,X,-,100.0,45.83333333333333,lvl
X,-,X,-,-,X,X,100.0,44.79166666666667,lvl
X,-,X,-,X,-,-,100.0,42.70833333333333,lvl
X,-,X,-,X,-,X,100.0,43.75,lvl
X,-,X,-,X,X,-,100.0,45.83333333333333,lvl
X,-,X,-,X,X,X,100.0,44.79166666666667,lvl
X,-,X,X,-,-,-,100.0,42.70833333333333,lvl
X,-,X,X,-,-,X,100.0,42.70833333333333,lvl
X,-,X,X,-,X,-,100.0,45.83333333333333,lvl
X,-,X,X,-,X,X,100.0,46.875,lvl
X,-,X,X,X,-,-,100.0,45.83333333333333,lvl
X,-,X,X,X,-,X,100.0,44.79166666666667,lvl
X,-,X,X,X,X,-,100.0,44.79166666666667,lvl
X,-,X,X,X,X,X,100.0,44.79166666666667,lvl
X,X,-,-,-,-,-,100.0,44.79166666666667,lvl
X,X,-,-,-,-,X,100.0,45.83333333333333,lvl
X,X,-,-,-,X,-,100.0,42.70833333333333,lvl
X,X,-,-,-,X,X,100.0,43.75,lvl
X,X,-,-,X,-,-,100.0,43.75,lvl
X,X,-,-,X,-,X,100.0,42.70833333333333,lvl
X,X,-,-,X,X,-,100.0,44.79166666666667,lvl
X,X,-,-,X,X,X,100.0,44.79166666666667,lvl
X,X,-,X,-,-,-,100.0,42.70833333333333,lvl
X,X,-,X,-,-,X,100.0,42.70833333333333,lvl
X,X,-,X,-,X,-,100.0,40.625,lvl
X,X,-,X,-,X,X,100.0,42.70833333333333,lvl
X,X,-,X,X,-,-,100.0,42.70833333333333,lvl
X,X,-,X,X,-,X,100.0,42.70833333333333,lvl
X,X,-,X,X,X,-,100.0,46.875,lvl
X,X,-,X,X,X,X,100.0,44.79166666666667,lvl
X,X,X,-,-,-,-,100.0,39.58333333333333,lvl
X,X,X,-,-,-,X,100.0,40.625,lvl
X,X,X,-,-,X,-,100.0,44.79166666666667,lvl
X,X,X,-,-,X,X,100.0,40.625,lvl
X,X,X,-,X,-,-,100.0,41.66666666666667,lvl
X,X,X,-,X,-,X,100.0,41.66666666666667,lvl
X,X,X,-,X,X,-,100.0,43.75,lvl
X,X,X,-,X,X,X,100.0,40.625,lvl
X,X,X,X,-,-,-,100.0,39.58333333333333,lvl
X,X,X,X,-,-,X,100.0,39.58333333333333,lvl
X,X,X,X,-,X,-,100.0,39.58333333333333,lvl
X,X,X,X,-,X,X,100.0,41.66666666666667,lvl
X,X,X,X,X,-,-,100.0,39.58333333333333,lvl
X,X,X,X,X,-,X,100.0,40.625,lvl
X,X,X,X,X,X,-,100.0,43.75,lvl
X,X,X,X,X,X,X,100.0,41.66666666666667,lvl
-,-,-,-,-,-,-,42.37388724035608,28.125,X
